M,N,N_over_M,t_final,xc,jc,phi_xc,mass_critical_window,mass_boundary_window,width_sc,width_s1,peak_sc_s,peak_sc_value,peak_s1_s,peak_s1_value,novoid_residual,structure_term,physical_diffusion_term,loss_term,rhs_total,phi,s,x,D_n,final_time_solver
10,10,1.0,15.0,0.335290170757768,3,0.9481481481481482,0.0019672734724584854,0.003047009011195527,0.11417089792134362,0.04078921598062137,0.5,0.005424391259203928,1.0,0.025400597971951253,0.0,0.00021312476327344388,0.0004422728543206675,-0.0006553971799845975,4.376095138385397e-10,0.9288024285091163,0.7,0.3,0.0037000000000000006,15.0
20,20,1.0,15.0,0.3186811607432432,6,0.9481481481481483,0.0025326708463217613,0.002652314117359239,0.1020488015501264,0.059767072522006415,0.55,0.008466601189473193,1.0,0.03513960033104721,0.0,8.704545955965639e-05,0.0003928337189062908,-0.00047987855139389646,6.270720507520894e-10,0.9359362259667923,0.65,0.3,0.00415,15.0
40,40,1.0,15.0,0.31539570002887723,13,0.9481481481481482,0.0034739209303269823,0.0018832463048406535,0.09558370558290974,0.06294177580705654,0.55,0.013642173990008957,1.0,0.03979370522841973,0.0,8.1316720619068e-05,0.00014443006878686702,-0.00022574649616863664,2.932372983755621e-10,0.954748423688629,0.675,0.325,0.003925,15.0
80,80,1.0,15.0,0.31303696379642715,25,0.9481481481481482,0.004757558224054744,0.0010896640777427282,0.09366381470035215,0.06670176057378427,0.5625,0.022063884591752597,1.0,0.035607222404811234,0.0,0.00016416168603705346,2.917444762586502e-05,-0.0001933359569383867,1.7672453176418093e-10,0.9478282423760007,0.6625,0.3125,0.004037500000000001,15.0
160,160,1.0,15.0,0.3107338473512137,50,0.9481481481481482,0.0059150940853255835,0.0005067561879430558,0.09332214488416221,0.06876170199388838,0.56875,0.0337898904386926,1.0,0.026660639670536584,0.0,0.00014407737387381108,-3.981393466356869e-05,-0.00010426337557706646,6.36331759311902e-11,0.9492564060346617,0.66875,0.3125,0.00398125,15.0
